Frame,Predicted_X,Predicted_Y,Actual_X,Actual_Y
0,1349.865239959119,357.4643135447297,1350.0,357.5
1,1350.1073488350614,357.5284275618774,1350.0,357.5
2,1359.0552814627877,362.6504091676907,1360.5,363.5
3,1369.5297378903133,369.4239758614969,1371.0,370.5
4,1379.9464548028707,375.83901751549064,1381.0,376.5
5,1390.3048513532378,383.18559922572433,1391.0,384.0
6,1400.9633644419955,390.84848599577657,1401.5,391.5
7,1412.0520029320792,397.8864251075429,1412.5,398.0
8,1422.5540709366626,405.3476986573673,1422.5,405.5
9,1433.4687397438709,412.80966715843635,,
10,1444.5315711935473,422.1932402595303,1444.5,422.5
11,1455.649857767855,430.90669302653197,1455.5,431.0
12,1465.7026770591945,439.2299189072894,1465.0,439.0
13,1476.3710795957543,447.7306870896939,1476.0,447.5
14,1486.2361275884268,456.62886041939055,1485.5,456.5
15,1495.4412279337248,466.0103947032175,1494.5,466.0
16,1505.7730448317407,475.218403309069,1505.5,475.0
17,1515.192876843539,484.68026129666595,1514.5,484.5
18,1523.5745180268318,494.56769454645655,1522.5,494.5
19,1091.6463229760823,407.6776346119175,881.5,361.5
20,1335.0711940434894,457.9437915735633,1497.0,488.0
21,1422.8897756927893,474.029378064355,1477.0,481.5
22,1444.8579215460165,475.9159598686095,1456.0,475.0
23,1439.5029972689297,472.34042572429047,1435.0,469.0
24,1423.6980482846816,466.6182158668989,1415.0,463.0
25,1421.4921900205738,466.37834833033645,,
26,1418.848191103228,465.7816127975097,,
27,1363.825149550359,453.6795670516052,1356.0,452.0
28,1342.0190237910554,449.7677075283557,1338.0,449.5
29,1322.5124522085287,447.28864003428095,1320.5,448.0
30,1303.7399210654817,444.72380472536696,1303.0,445.5
31,1285.6814368642263,443.8031842974833,1286.0,445.5
32,1267.6645413197245,443.8928027908344,1268.5,446.0
33,1250.7207989095446,443.39475127346606,1252.5,445.0
34,1229.9133456983852,440.00987149279695,,
35,1208.0729681006044,436.2921840770259,,
36,1202.277249132294,446.6955587712252,1205.0,449.0
37,1188.2835338997006,449.38242016271863,1191.5,451.5
38,1172.510983330056,451.3309898810716,1175.0,453.0
39,1158.5732820632165,454.10826619462347,1162.0,456.0
40,1144.4240027474882,458.20769752997325,1147.5,460.5
41,1129.192772726771,461.8319380571574,1131.5,463.5
42,1109.6789061150735,462.7753923960011,,
43,1089.5376103546512,463.68067512477637,,
44,1087.4721286121728,476.12565650813036,1090.5,478.0
45,1069.194130187417,478.8848281729505,,
46,1050.4342009246664,481.69589605980735,,
47,1031.192340823921,484.5588601687009,,
48,1011.4685498851811,487.4737204996311,,
49,991.2628281084466,490.440477052598,,
50,993.7949336326135,498.25129470815415,995.0,498.5
51,978.691206341598,500.60928800604387,980.0,500.0
52,963.907009600461,500.42659994791273,965.5,498.5
53,948.3984251286915,499.5012115147383,949.5,497.5
54,933.924154412476,498.6138063806556,935.5,497.0
55,918.8781624924709,497.77746036687483,920.0,496.5
56,904.5777230909756,497.3224266857295,906.0,496.5
57,890.5742466847563,497.37656680494314,892.0,497.0
58,876.0214319914157,498.31362049106446,877.0,498.5
59,861.8925585039588,499.61922461006634,863.0,500.0
60,845.8683172364537,500.25819635986034,,
61,833.8761951835427,504.1161936481738,835.0,505.0
62,822.4943570340935,504.0531839527862,824.5,503.5
63,811.156062460492,502.9858304080436,813.0,502.0
64,799.2448654969959,502.1605389112825,800.5,501.5
65,788.0735541189379,501.77554545955763,789.5,501.5
66,774.6545503280677,501.7464887206163,,
67,761.2427225397366,501.637797487728,,
68,747.8380707539447,501.4494717608928,,
69,734.440594970692,501.1815115401106,,
70,721.0502951899784,500.8339168253815,,
71,707.667171411804,500.4066876167054,,
72,694.2912236361689,499.89982391408245,,
73,680.9224518630729,499.3133257175125,,
74,667.560856092516,498.64719302699564,,
75,654.2064363244983,497.9014258425318,,
76,640.8591925590198,497.07602416412107,,
77,627.5191247960804,496.17098799176335,,
78,614.1862330356802,495.18631732545873,,
79,600.8605172778191,494.12201216520714,,
80,587.5419775224972,492.97807251100863,,
81,574.2306137697144,491.75449836286316,,
82,560.9264260194708,490.4512897207708,,
83,547.6294142717663,489.0684465847314,,
84,534.339578526601,487.60596895474515,,
85,521.056918783975,486.0638568308119,,
86,507.78143504388805,484.44211021293177,,
87,494.51312730634027,482.74072910110465,,
88,481.2519955713317,480.9597134953306,,
89,467.99803983886227,479.0990633956096,,
90,723.0964020568103,390.13089216295356,723.5,390.0
91,726.962654709647,382.5633171009651,,
92,755.2642591297724,509.13473494996754,760.5,538.5
93,760.19994729191,537.8773253653114,758.0,541.0
94,759.6758415034277,550.4547256560019,755.0,545.0
95,757.3446503061851,555.8055947950488,752.5,547.5
96,753.728369749838,558.767993099525,749.0,550.5
97,750.0365517299578,559.9445607222987,746.0,552.0
98,746.0629946151832,560.216631689744,742.5,553.0
99,742.3706534284597,560.5786787610864,739.5,554.5
100,739.1736890241059,561.7412038954941,737.0,557.0
101,735.226315384962,563.310066033823,733.0,559.5
102,731.6652498533499,565.1068187197983,730.0,562.0
103,728.6219684966685,566.7174628147663,727.5,564.0
104,725.8127359050957,567.6365708728896,725.0,565.0
105,722.785909619567,568.971998062834,722.0,567.0
106,720.9979535536283,573.4329128069489,,
107,717.4685574834266,572.8595590042901,717.0,571.5
108,715.4563570436678,574.4535552127999,715.5,573.5
109,712.1295854449464,575.5683985072901,711.5,574.5
110,708.9380105219667,577.7803500221346,708.5,577.5
111,706.4028090386402,580.3593716014648,,
112,703.8311560730467,582.8620184592432,,
113,701.2230516251865,585.2882905954699,,
